Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;São José dos Campos;Jambeiro
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;São José dos Campos;Jambeiro
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
LESÃO CORPORAL DOLOSA;2;0;4;3;4;0;3;3;3;3;1;0;26;2023;São José dos Campos;Jambeiro
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;2;1;1;0;0;0;5;2023;São José dos Campos;Jambeiro
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;São José dos Campos;Jambeiro
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
TOTAL DE ROUBO - OUTROS (1);0;1;0;1;0;0;1;0;1;0;2;0;6;2023;São José dos Campos;Jambeiro
ROUBO - OUTROS;0;1;0;1;0;0;1;0;1;0;2;0;6;2023;São José dos Campos;Jambeiro
ROUBO DE VEÍCULO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;São José dos Campos;Jambeiro
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Jambeiro
FURTO - OUTROS;2;3;2;2;5;6;3;6;2;3;2;3;39;2023;São José dos Campos;Jambeiro
FURTO DE VEÍCULO;0;0;0;1;0;1;1;0;1;2;0;0;6;2023;São José dos Campos;Jambeiro
HOMICÍDIO DOLOSO (2);0;1;1;0;0;0;1;0;0;0;0;0;3;2023;São José dos Campos;Lagoinha
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;0;0;0;1;0;0;0;0;0;3;2023;São José dos Campos;Lagoinha
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
TENTATIVA DE HOMICÍDIO;1;0;1;0;0;0;0;0;0;0;0;0;2;2023;São José dos Campos;Lagoinha
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
LESÃO CORPORAL DOLOSA;0;1;0;1;1;4;3;2;0;1;2;2;17;2023;São José dos Campos;Lagoinha
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
TOTAL DE ESTUPRO (4);0;1;0;0;0;0;0;0;0;0;0;0;1;2023;São José dos Campos;Lagoinha
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
ESTUPRO DE VULNERÁVEL;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;São José dos Campos;Lagoinha
TOTAL DE ROUBO - OUTROS (1);0;1;0;0;0;0;0;1;1;0;0;0;3;2023;São José dos Campos;Lagoinha
ROUBO - OUTROS;0;1;0;0;0;0;0;1;1;0;0;0;3;2023;São José dos Campos;Lagoinha
ROUBO DE VEÍCULO;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;São José dos Campos;Lagoinha
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lagoinha
FURTO - OUTROS;2;3;2;2;2;6;3;2;4;1;3;1;31;2023;São José dos Campos;Lagoinha
FURTO DE VEÍCULO;0;0;1;0;0;1;1;1;0;0;0;0;4;2023;São José dos Campos;Lagoinha
HOMICÍDIO DOLOSO (2);0;0;1;0;3;0;0;0;1;0;0;0;5;2023;São José dos Campos;Lavrinhas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;3;0;0;0;1;0;0;0;5;2023;São José dos Campos;Lavrinhas
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;São José dos Campos;Lavrinhas
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;São José dos Campos;Lavrinhas
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
LESÃO CORPORAL DOLOSA;1;2;2;1;0;1;2;1;0;2;3;1;16;2023;São José dos Campos;Lavrinhas
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;1;3;2;1;0;1;3;0;0;2;13;2023;São José dos Campos;Lavrinhas
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
TOTAL DE ESTUPRO (4);0;0;0;0;1;1;0;0;0;1;0;0;3;2023;São José dos Campos;Lavrinhas
ESTUPRO;0;0;0;0;1;0;0;0;0;1;0;0;2;2023;São José dos Campos;Lavrinhas
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;São José dos Campos;Lavrinhas
TOTAL DE ROUBO - OUTROS (1);0;1;0;1;0;0;0;0;0;0;0;0;2;2023;São José dos Campos;Lavrinhas
ROUBO - OUTROS;0;1;0;1;0;0;0;0;0;0;0;0;2;2023;São José dos Campos;Lavrinhas
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;São José dos Campos;Lavrinhas
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lavrinhas
FURTO - OUTROS;4;1;7;4;2;3;4;3;5;4;3;1;41;2023;São José dos Campos;Lavrinhas
FURTO DE VEÍCULO;0;0;0;0;2;0;0;0;0;0;0;0;2;2023;São José dos Campos;Lavrinhas
HOMICÍDIO DOLOSO (2);2;0;2;3;1;4;3;2;1;2;3;3;26;2023;São José dos Campos;Lorena
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;2;3;1;5;3;2;1;2;3;3;27;2023;São José dos Campos;Lorena
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;3;1;0;0;0;3;1;1;0;1;12;2023;São José dos Campos;Lorena
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;São José dos Campos;Lorena
TENTATIVA DE HOMICÍDIO;2;3;3;3;3;3;2;4;3;1;0;2;29;2023;São José dos Campos;Lorena
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
LESÃO CORPORAL DOLOSA;23;23;25;20;14;22;14;28;26;16;21;27;259;2023;São José dos Campos;Lorena
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;6;8;5;4;11;8;4;5;9;6;5;78;2023;São José dos Campos;Lorena
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
TOTAL DE ESTUPRO (4);2;1;1;2;1;8;1;4;3;2;0;4;29;2023;São José dos Campos;Lorena
ESTUPRO;0;0;1;1;0;3;0;1;1;0;0;1;8;2023;São José dos Campos;Lorena
ESTUPRO DE VULNERÁVEL;2;1;0;1;1;5;1;3;2;2;0;3;21;2023;São José dos Campos;Lorena
TOTAL DE ROUBO - OUTROS (1);8;5;13;5;2;9;10;11;13;10;16;25;127;2023;São José dos Campos;Lorena
ROUBO - OUTROS;8;5;13;5;2;9;10;10;13;10;16;25;126;2023;São José dos Campos;Lorena
ROUBO DE VEÍCULO;0;1;2;0;1;0;1;1;2;3;4;2;17;2023;São José dos Campos;Lorena
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Lorena
ROUBO DE CARGA;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;São José dos Campos;Lorena
FURTO - OUTROS;43;53;57;39;59;54;38;46;48;32;40;42;551;2023;São José dos Campos;Lorena
FURTO DE VEÍCULO;1;6;6;7;1;4;3;1;4;3;4;7;47;2023;São José dos Campos;Lorena
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
LESÃO CORPORAL DOLOSA;1;0;3;0;1;1;0;1;0;2;0;0;9;2023;São José dos Campos;Monteiro Lobato
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;0;2;0;1;0;0;5;2023;São José dos Campos;Monteiro Lobato
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;São José dos Campos;Monteiro Lobato
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Monteiro Lobato
FURTO - OUTROS;10;4;4;5;9;3;5;8;3;9;4;2;66;2023;São José dos Campos;Monteiro Lobato
FURTO DE VEÍCULO;0;0;1;0;0;0;0;1;3;2;2;0;9;2023;São José dos Campos;Monteiro Lobato
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
LESÃO CORPORAL DOLOSA;0;2;1;2;0;3;2;3;1;2;1;2;19;2023;São José dos Campos;Natividade da Serra
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;2;1;0;1;0;1;0;1;0;1;1;8;2023;São José dos Campos;Natividade da Serra
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
TOTAL DE ESTUPRO (4);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;São José dos Campos;Natividade da Serra
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
ESTUPRO DE VULNERÁVEL;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;São José dos Campos;Natividade da Serra
TOTAL DE ROUBO - OUTROS (1);1;0;0;1;0;1;0;0;0;0;0;0;3;2023;São José dos Campos;Natividade da Serra
ROUBO - OUTROS;1;0;0;1;0;1;0;0;0;0;0;0;3;2023;São José dos Campos;Natividade da Serra
ROUBO DE VEÍCULO;0;0;0;0;0;1;0;1;0;0;0;0;2;2023;São José dos Campos;Natividade da Serra
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Natividade da Serra
FURTO - OUTROS;3;3;3;6;5;2;2;4;1;4;5;0;38;2023;São José dos Campos;Natividade da Serra
FURTO DE VEÍCULO;0;0;0;0;0;0;0;3;0;0;0;0;3;2023;São José dos Campos;Natividade da Serra
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;2;2;2023;São José dos Campos;Paraibuna
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
TENTATIVA DE HOMICÍDIO;0;2;1;0;0;0;0;0;0;0;0;1;4;2023;São José dos Campos;Paraibuna
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
LESÃO CORPORAL DOLOSA;4;5;12;4;10;7;4;6;8;8;2;9;79;2023;São José dos Campos;Paraibuna
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;1;1;1;1;0;2;1;2;2;2;3;16;2023;São José dos Campos;Paraibuna
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;São José dos Campos;Paraibuna
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;São José dos Campos;Paraibuna
TOTAL DE ESTUPRO (4);0;0;2;0;1;0;2;0;0;1;2;1;9;2023;São José dos Campos;Paraibuna
ESTUPRO;0;0;1;0;0;0;0;0;0;0;1;1;3;2023;São José dos Campos;Paraibuna
ESTUPRO DE VULNERÁVEL;0;0;1;0;1;0;2;0;0;1;1;0;6;2023;São José dos Campos;Paraibuna
TOTAL DE ROUBO - OUTROS (1);2;1;0;0;1;2;1;0;2;1;0;0;10;2023;São José dos Campos;Paraibuna
ROUBO - OUTROS;2;1;0;0;1;2;1;0;2;1;0;0;10;2023;São José dos Campos;Paraibuna
ROUBO DE VEÍCULO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;São José dos Campos;Paraibuna
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Paraibuna
FURTO - OUTROS;8;10;14;14;14;7;10;16;15;21;11;12;152;2023;São José dos Campos;Paraibuna
FURTO DE VEÍCULO;1;1;1;1;0;1;0;0;0;1;1;1;8;2023;São José dos Campos;Paraibuna
HOMICÍDIO DOLOSO (2);1;3;1;0;0;2;1;2;2;1;1;3;17;2023;São José dos Campos;Pindamonhangaba
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;3;1;0;0;2;1;2;2;1;1;3;17;2023;São José dos Campos;Pindamonhangaba
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Pindamonhangaba
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Pindamonhangaba
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;1;0;2;1;2;1;2;3;2;1;17;2023;São José dos Campos;Pindamonhangaba
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;São José dos Campos;Pindamonhangaba
TENTATIVA DE HOMICÍDIO;2;0;1;0;1;0;5;1;3;1;1;3;18;2023;São José dos Campos;Pindamonhangaba
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;1;1;0;0;0;0;2;2023;São José dos Campos;Pindamonhangaba
LESÃO CORPORAL DOLOSA;30;35;38;29;41;34;30;45;42;45;35;47;451;2023;São José dos Campos;Pindamonhangaba
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;4;8;16;8;23;14;12;13;16;10;15;151;2023;São José dos Campos;Pindamonhangaba
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;2;1;3;2;1;2;2;0;14;2023;São José dos Campos;Pindamonhangaba
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;São José dos Campos;Pindamonhangaba
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;São José dos Campos;Pindamonhangaba
TOTAL DE ESTUPRO (4);5;1;5;4;3;4;3;3;1;4;0;5;38;2023;São José dos Campos;Pindamonhangaba
ESTUPRO;2;0;1;1;2;1;0;1;1;2;0;3;14;2023;São José dos Campos;Pindamonhangaba
ESTUPRO DE VULNERÁVEL;3;1;4;3;1;3;3;2;0;2;0;2;24;2023;São José dos Campos;Pindamonhangaba
TOTAL DE ROUBO - OUTROS (1);35;24;21;23;28;23;23;23;18;26;21;17;282;2023;São José dos Campos;Pindamonhangaba
ROUBO - OUTROS;34;24;19;22;27;23;23;22;18;26;21;17;276;2023;São José dos Campos;Pindamonhangaba
ROUBO DE VEÍCULO;2;6;3;2;5;0;2;6;4;7;12;4;53;2023;São José dos Campos;Pindamonhangaba
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Pindamonhangaba
ROUBO DE CARGA;1;0;2;1;1;0;0;1;0;0;0;0;6;2023;São José dos Campos;Pindamonhangaba
FURTO - OUTROS;109;83;101;97;89;96;107;127;132;133;105;83;1.262;2023;São José dos Campos;Pindamonhangaba
FURTO DE VEÍCULO;14;6;8;5;9;9;8;10;9;8;8;6;100;2023;São José dos Campos;Pindamonhangaba
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;0;0;0;0;0;1;2023;São José dos Campos;Piquete
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;0;0;0;0;0;1;2023;São José dos Campos;Piquete
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;São José dos Campos;Piquete
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
TENTATIVA DE HOMICÍDIO;1;0;0;1;0;1;1;0;1;0;0;0;5;2023;São José dos Campos;Piquete
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
LESÃO CORPORAL DOLOSA;1;4;5;2;0;2;12;4;5;5;3;5;48;2023;São José dos Campos;Piquete
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;0;0;0;1;0;1;1;0;1;0;1;7;2023;São José dos Campos;Piquete
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
TOTAL DE ESTUPRO (4);0;0;0;1;0;1;0;0;0;0;1;1;4;2023;São José dos Campos;Piquete
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
ESTUPRO DE VULNERÁVEL;0;0;0;1;0;1;0;0;0;0;1;1;4;2023;São José dos Campos;Piquete
TOTAL DE ROUBO - OUTROS (1);0;0;1;0;0;0;2;0;0;1;0;2;6;2023;São José dos Campos;Piquete
ROUBO - OUTROS;0;0;1;0;0;0;2;0;0;1;0;1;5;2023;São José dos Campos;Piquete
ROUBO DE VEÍCULO;0;0;1;0;0;0;0;0;1;0;0;0;2;2023;São José dos Campos;Piquete
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Piquete
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;São José dos Campos;Piquete
FURTO - OUTROS;2;8;12;5;2;7;9;9;4;8;2;5;73;2023;São José dos Campos;Piquete
FURTO DE VEÍCULO;0;0;0;1;0;1;0;0;0;0;0;0;2;2023;São José dos Campos;Piquete
HOMICÍDIO DOLOSO (2);2;0;1;0;1;0;0;0;0;2;0;0;6;2023;São José dos Campos;Potim
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;1;0;1;0;0;0;0;3;0;0;7;2023;São José dos Campos;Potim
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;São José dos Campos;Potim
